ticket_id,created_at,resolved_at,channel,priority,status,first_response_minutes,handling_minutes,wait_minutes,resolution_minutes,satisfaction,agent_id
T-00244,2026-09-02T04:21:00+00:00,2026-09-02T05:10:00+00:00,web,low,closed,8,23,26,49,4,A-04
T-00245,2026-09-02T04:28:00+00:00,2026-09-02T05:25:00+00:00,email,medium,closed,9,24,33,57,5,A-05
T-00246,2026-09-02T04:35:00+00:00,,chat,high,open,10,25,40,65,,A-06
T-00247,2026-09-02T04:42:00+00:00,2026-09-02T05:15:00+00:00,web,low,closed,11,26,7,33,2,A-07
T-00248,2026-09-02T04:49:00+00:00,2026-09-02T05:30:00+00:00,email,medium,closed,12,27,14,41,3,A-08
T-00249,2026-09-02T04:56:00+00:00,2026-09-02T05:45:00+00:00,chat,high,closed,13,28,21,49,4,A-09
T-00250,2026-09-02T05:03:00+00:00,2026-09-02T06:00:00+00:00,web,low,closed,14,29,28,57,5,A-10
T-00251,2026-09-02T05:10:00+00:00,,email,medium,open,15,30,35,65,,A-11
T-00252,2026-09-02T05:17:00+00:00,2026-09-02T06:30:00+00:00,chat,high,closed,16,31,42,73,2,A-12
T-00253,2026-09-02T05:24:00+00:00,2026-09-02T06:05:00+00:00,web,low,closed,17,32,9,41,3,A-01
T-00254,2026-09-02T05:31:00+00:00,2026-09-02T06:20:00+00:00,email,medium,closed,18,33,16,49,4,A-02
T-00255,2026-09-02T05:38:00+00:00,2026-09-02T06:35:00+00:00,chat,high,closed,19,34,23,57,5,A-03
T-00256,2026-09-02T05:45:00+00:00,,web,low,open,20,35,30,65,,A-04
T-00257,2026-09-02T05:52:00+00:00,2026-09-02T07:05:00+00:00,email,medium,closed,21,36,37,73,2,A-05
T-00258,2026-09-02T05:59:00+00:00,2026-09-02T07:20:00+00:00,chat,high,closed,22,37,44,81,3,A-06
T-00259,2026-09-02T06:06:00+00:00,2026-09-02T06:55:00+00:00,web,low,closed,23,38,11,49,4,A-07
T-00260,2026-09-02T06:13:00+00:00,2026-09-02T07:10:00+00:00,email,medium,closed,24,39,18,57,5,A-08
T-00261,2026-09-02T06:20:00+00:00,,chat,high,open,5,40,25,65,,A-09
T-00262,2026-09-02T06:27:00+00:00,2026-09-02T07:40:00+00:00,web,low,closed,6,41,32,73,2,A-10
T-00263,2026-09-02T06:34:00+00:00,2026-09-02T07:55:00+00:00,email,medium,closed,7,42,39,81,3,A-11
T-00264,2026-09-02T06:41:00+00:00,2026-09-02T07:30:00+00:00,chat,high,closed,8,43,6,49,4,A-12
T-00265,2026-09-02T06:48:00+00:00,2026-09-02T07:45:00+00:00,web,low,closed,9,44,13,57,5,A-01
T-00266,2026-09-02T06:55:00+00:00,,email,medium,open,10,45,20,65,,A-02
T-00267,2026-09-02T07:02:00+00:00,2026-09-02T08:15:00+00:00,chat,high,closed,11,46,27,73,2,A-03
T-00268,2026-09-02T07:09:00+00:00,2026-09-02T08:30:00+00:00,web,low,closed,12,47,34,81,3,A-04
T-00269,2026-09-02T07:16:00+00:00,2026-09-02T08:45:00+00:00,email,medium,closed,13,48,41,89,4,A-05
T-00270,2026-09-02T07:23:00+00:00,2026-09-02T08:20:00+00:00,chat,high,closed,14,49,8,57,5,A-06
T-00271,2026-09-02T07:30:00+00:00,,web,low,open,15,50,15,65,,A-07
T-00272,2026-09-02T07:37:00+00:00,2026-09-02T08:50:00+00:00,email,medium,closed,16,51,22,73,2,A-08
T-00273,2026-09-02T07:44:00+00:00,2026-09-02T09:05:00+00:00,chat,high,closed,17,52,29,81,3,A-09
T-00274,2026-09-02T07:51:00+00:00,2026-09-02T09:20:00+00:00,web,low,closed,18,53,36,89,4,A-10
T-00275,2026-09-02T07:58:00+00:00,2026-09-02T09:35:00+00:00,email,medium,closed,19,54,43,97,5,A-11
T-00276,2026-09-02T08:05:00+00:00,,chat,high,open,20,55,10,65,,A-12
T-00277,2026-09-02T08:12:00+00:00,2026-09-02T09:25:00+00:00,web,low,closed,21,56,17,73,2,A-01
T-00278,2026-09-02T08:19:00+00:00,2026-09-02T09:40:00+00:00,email,medium,closed,22,57,24,81,3,A-02
T-00279,2026-09-02T08:26:00+00:00,2026-09-02T09:55:00+00:00,chat,high,closed,23,58,31,89,4,A-03
T-00280,2026-09-02T08:33:00+00:00,2026-09-02T10:10:00+00:00,web,low,closed,24,59,38,97,5,A-04
T-00281,2026-09-02T08:40:00+00:00,,email,medium,open,5,20,5,25,,A-05
T-00282,2026-09-02T08:47:00+00:00,2026-09-02T09:20:00+00:00,chat,high,closed,6,21,12,33,2,A-06
T-00283,2026-09-02T08:54:00+00:00,2026-09-02T09:35:00+00:00,web,low,closed,7,22,19,41,3,A-07
T-00284,2026-09-02T09:01:00+00:00,2026-09-02T09:50:00+00:00,email,medium,closed,8,23,26,49,4,A-08
T-00285,2026-09-02T09:08:00+00:00,2026-09-02T10:05:00+00:00,chat,high,closed,9,24,33,57,5,A-09
T-00286,2026-09-02T09:15:00+00:00,,web,low,open,10,25,40,65,,A-10
T-00287,2026-09-02T09:22:00+00:00,2026-09-02T09:55:00+00:00,email,medium,closed,11,26,7,33,2,A-11
T-00288,2026-09-02T09:29:00+00:00,2026-09-02T10:10:00+00:00,chat,high,closed,12,27,14,41,3,A-12
T-00289,2026-09-02T09:36:00+00:00,2026-09-02T10:25:00+00:00,web,low,closed,13,28,21,49,4,A-01
T-00290,2026-09-02T09:43:00+00:00,2026-09-02T10:40:00+00:00,email,medium,closed,14,29,28,57,5,A-02
T-00291,2026-09-02T09:50:00+00:00,,chat,high,open,15,30,35,65,,A-03
T-00292,2026-09-02T09:57:00+00:00,2026-09-02T11:10:00+00:00,web,low,closed,16,31,42,73,2,A-04
T-00293,2026-09-02T10:04:00+00:00,2026-09-02T10:45:00+00:00,email,medium,closed,17,32,9,41,3,A-05
T-00294,2026-09-02T10:11:00+00:00,2026-09-02T11:00:00+00:00,chat,high,closed,18,33,16,49,4,A-06
T-00295,2026-09-02T10:18:00+00:00,2026-09-02T11:15:00+00:00,web,low,closed,19,34,23,57,5,A-07
T-00296,2026-09-02T10:25:00+00:00,,email,medium,open,20,35,30,65,,A-08
T-00297,2026-09-02T10:32:00+00:00,2026-09-02T11:45:00+00:00,chat,high,closed,21,36,37,73,2,A-09
T-00298,2026-09-02T10:39:00+00:00,2026-09-02T12:00:00+00:00,web,low,closed,22,37,44,81,3,A-10
T-00299,2026-09-02T10:46:00+00:00,2026-09-02T11:35:00+00:00,email,medium,closed,23,38,11,49,4,A-11
T-00300,2026-09-02T10:53:00+00:00,2026-09-02T11:50:00+00:00,chat,high,closed,24,39,18,57,5,A-12
